code,lat,long,age,year,type,elev1,from.treeline
TR40,28.567598,84.696728,106,1907,tree,3643,below
TR05,28.567160,84.696621,87,1926,tree,3669,below
TR26,28.567053,84.696570,78,1935,tree,3678,below
TR11,28.567445,84.696596,59,1954,tree,3693,below
TR08,28.566793,84.696336,38,1975,tree,3701,above
TR43,28.566497,84.696331,31,1982,tree,3727,above
SP60,28.566496,84.696278,10,2003,sapling,3729,above
SD3,28.566225,84.696228,5,2008,seedling,3753,above
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
